Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
University of Cambridge/ DIOSynVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin late fall 2020 or early 2021,DNA; (DIOS-CoVax2) synthetic gene inserts compatible with multiple delivery systems ,,Innovate UK,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/28/2020
Mediphage Bioceuticals/ University of Waterloo/ Lambton College,Vaccine,DNA-based,Pre-clinical,Unknown,DNA; msDNA-VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Symvivo,Vaccine,DNA-based,Phase I,Phase I dosed November 2020,DNA; bacTRL-Spike,NCT04334980,National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/2/2020
Takis/ Applied DNA Sciences/ Evvivax,Vaccine,DNA-based,Pre-clinical,Pre-clinical results released in May and July 2020; Phase I expected to begin fall 2020,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Immunomic Therapeutics/ EpiVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine, needle-free delivery",,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Zydus Cadila Healthcare Limited ,Vaccine,DNA-based,Phase I/II,"Phase I/II study: Phase I began July 2020 and Phase II began August 2020, initial results expected September 2020",DNA; (ZyCoV-D) plasmid vaccine ,CTRI/2020/07/026352,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
OPENCORONA Project: Karolinska Institute/ Justus Liebig University Giessen/ Public Health Agency of Sweden (FoHM)/ IGEA/ Cobra Biologics/ Adlego Biomedical/ Region Stockholm,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin in 2020,DNA with electroporation,,European Commission (Horizon 2020 Program),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Osaka University/ AnGes/ Takara Bio/ Cytiva/ Brickell Biotech,Vaccine,DNA-based,Phase I/II,"Pre-clinical study results released October 2020; Phase I/II trials began end of June (AG0301) and August (AG0302) 2020, results expected during Q1 2021",DNA; (AG0301 & AG0302) plasmid vaccine + adjuvant ,"NCT04463472, NCT04527081",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex/ PT Kalbe Pharma",Vaccine,DNA-based,Phase I/II,Phase I/II study: Phase I began end of June 2020; Animal study results announced August 2020,DNA; (GX-19),NCT04445389,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Chula Vaccine Research Center,Vaccine,DNA-based,Pre-clinical,Unknown,DNA with electroporation,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
"National
  Research Centre, Egypt",Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine S, S1, S2, RBD & N",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Ege University Drug Development and Pharmacokinetic Research Application Center (ARGEFAR)/ Scientific and Technological Research Council of Turkey (TUBITAK),Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
"Statens Serum Institute, Denmark",Vaccine,DNA-based,Pre-clinical,Phase I is expected to start in late 2020 or early 2021,DNA; (CoVAXIX) plasmid vaccine,,Folketing's Finance Committee,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
"Globe Biotech Limited, Bangladesh",Vaccine,DNA-based,Pre-clinical,Unknown,DNA plasmid vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"National Institute of Chemistry, Slovenia",Vaccine,DNA-based,Pre-clinical,Unknown,"Plasmid DNA, nanostructured RBD",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
OncoSec Medical Incorporated / Providence Cancer Institute ,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin December 2020,"(CORVax12), IL-12 expression platform + “S” glycoprotein ",NCT04627675,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Valneva/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Inactivated (Inactivated + CpG 1018), VLA2001",,Unknown,,Same platform as vaccine candidates for Japanese Encephalitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Beijing Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase III,"Registered in the UAE (December 2020), following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for emergency use in China (Aug 2020) and the UAE (Sep 2020)","Inactivated, (BBIBP-CorV)","ChiCTR2000032459, ChiCTR2000034780, NCT04560881",Unknown,The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30831-8/fulltext),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
Wuhan Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase III,"Phase III trial began July 2020; Phase I/II early trial results released June 2020, Phase I/II interim analysis published August 2020; Received early approval for emergency use in China (Aug 2020) and the UAE (Sep 2020)",Inactivated," ChiCTR2000031809, ChiCTR2000034780, ChiCTR2000039000, NCT04612972 ",Unknown,"CNBG (https://www.cnbg.com.cn/content/details_12_5545.html), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2769612)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Vaccine,Inactivated virus,Phase I/II,Phase I/II began September 2020,"Inactivated, QAZCOVID-IN®",NCT04530357,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/17/2020
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Vaccine,Inactivated virus,Phase II,"Phase II began June 2020; Phase I began May 2020, results released October 2020",Inactivated,"NCT04412538, NCT04470609",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.09.27.20189548v1),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/9/2020
Sinovac/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated + adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Osaka University / BIKEN / NIBIOHN,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Sinovac/ Instituto Butantan/ Bio Farma,Vaccine,Inactivated virus,Phase III,"Phase III trial interim results expected to be released early December 2020; Phase I/II complete analysis results published 11/17/2020; Phase III trial resumed in Brazil on 11/11/2020, Phase III trial suspended in Brazil on 11/09/2020; Received approval for Phase I/II trial in adolescents and children in September 2020; Phase III trial began end of July 2020; Phase II began June 2020, mid-phase II results released August 2020; Preliminary results from Phase I/II trials released June and September 2020 (aged 60+) 2020; Received early approval for emergency use in China in August 2020",Inactivated (inactivated + alum); CoronaVac (formerly PiCoVacc),"NCT04383574, NCT04352608, NCT04456595,  NCT04551547, NCT04508075, NCT04582344, NCT04617483, 669/UN6.KEP/EC/2020",Unknown,"Sinovac (http://www.sinovac.com/?optionid=754&auto_id=904), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.31.20161216v1), http://www.sinovac.com/?optionid=754&auto_id=910, The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30843-4/fulltext)",Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
"Beijing Minhai Biotechnology Co., Ltd.",Vaccine,Inactivated virus,Pre-clinical,Phase II expected to begin recruiting end of October 2020; Phase I expected to begin recruiting early October 2020,Inactivated,"ChiCTR2000038804, ChiCTR2000039462 ",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/3/2020
"National Research Centre, Egypt",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated whole virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
KM Biologics,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + alum),,Unknown,,"Same platform as vaccine candidates for JE, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Selcuk University,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Bharat Biotech/ Indian Council of Medical Research/ National Institute of Virology,Vaccine,Inactivated virus,Phase III,"Phase III dosed November 2020; Phase I/II study: Phase I began July 2020 and Phase II began September 2020, initial results expected September 2020; Animal study results released September 2020",Inactivated; whole-virion (COVAXIN) (BBV152),"CTRI/2020/07/026300, NCT04471519, CTRI/2020/09/027674, CTRI/2020/11/028976, NCT04641481",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/1/2020
Erciyes University,Vaccine,Inactivated virus,Phase I,Phase I began November 2020,Inactivated; (ERUCOV-VAC),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Kocak Farma Ilac ve Kimya San. A.S.,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Institute of Vaccines and Medical Biologicals (IVAC; Vietnam) / Dynavax / PATH,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Government
  Pharmaceutical Organization (GPO; Thailand) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Institute
  Butantan (Brazil) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Indian Immunologicals Ltd/ Griffith University,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Codagenix / Serum Institute of India,Vaccine,Live attenuated virus,Pre-clinical,Animal data in summer 2020,Codon deoptimized live attenuated virus,,Unknown,,"Same platform as vaccine candidates for HAV, InfA, ZIKV, FMD, SIV, RSV, DENV ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Meissa Vaccines ,Vaccine,Live attenuated virus,Pre-clinical,Start Phase 1 beginning of 2021,MV-014-210,,Unknown,,Same platform as vaccine candidates for RSV,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated vaccines,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Greffex,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; Ad5 S (GREVAX™ platform),,Unknown,,"Same platform as vaccine candidates for MERS
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ReiThera/ Leukocare/ Univercells/ National Institute of Infectious diseases Lazzaro Spallanzani,Vaccine,Non-replicating viral vector,Phase I,Phase I began August 2020; Phase II/III trial expected to begin by the end of 2020,Non-replicating viral vector; replication defective simian adenovirus encoding SARS-CoV-2 S (GRAd-CoV2),"EudraCT 2020-002835-31, NCT04528641",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Stabilitech Biopharma Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Oral Ad5 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Bharat Biotech/ Thomas Jefferson University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Recombinant deactivated rabies virus containing S1; (CoraVax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
GeoVax / BravoVax,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; MVA encoded VLP,,Unknown,,"Same platform as vaccine candidates for LASV, EBOV, MARV, HIV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CanSino Biologics/ Beijing Institute of Biotechnology/ Petrovax ,Vaccine,Non-replicating viral vector,Phase III,"Phase III dosed September 2020; Phase II began April 2020, initial results released May 2020, mid-phase results released July 2020; Received early approval for military use in China in June 2020",Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV),"ChiCTR2000030906, ChiCTR2000031781, NCT04313127, NCT04341389, NCT04398147, NCT04526990, NCT04540419, NCT04566770, NCT04568811",Unknown,"The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31208-3/fulltext), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31605-6/fulltext)",Same platform as vaccine candidates for EBOV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Altimmune / University of Alabama at Birmingham,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I trial to begin Q3 2020,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
German Center for Infection Research (DZIF)/ IDT Biologika GmbH/ Universitätsklinikum Hamburg-Eppendorf/ Philipps University Marburg Medical Center/ Ludwig-Maximilians University of Munich,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I expected to be dosed mid-October 2020,Non-replicating viral vector; MVA-S encoded,NCT04569383,Unknown,,Same platform as vaccine candidates for many pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/20/2020
ImmunityBio/ NantKwest,Vaccine,Non-replicating viral vector,Phase I,Phase I interim data announced November 2020; Pre-clinical data released November 2020; Phase I dosed October 2020; Animal study results released August 2020; Selected for US Operation Warp Speed in May 2020,"Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid",NCT04591717,Unknown,,"Same platform as vaccine candidates for flu, Chik, Zika, EBOV, LASV, HIV/SIV, cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
Valo Therapeutics Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based + HLA-matched peptides (Pan-Corona),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,"Non-replicating viral vector, MVA expressing structural proteins",,Unknown,,"Same platform as vaccine candidates for HIV, HCV, CHIKV, EBOV, Zika, Malaria, Leishmania",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent/ Biological E/ Grand River Aseptic Manufacturing (GRAM),Vaccine,Non-replicating viral vector,Phase III,"Phase III trial to study the safety and efficacy of a two-dose regimen began 11/15/2020 (ENSEMBLE 2 trial); Phase III trial (ENSEMBLE) resumed recruitment on 10/23/2020; Janssen Pharmaceutical Companies of Johnson & Johnson voluntarily paused dosing to allow independent review of safety data on 10/12/2020; Phase III trial (ENSEMBLE) began and study protocol released September 2020; Phase I/IIa began end of July 2020, interim results released September 2020; Animal study results published July and September 2020; Selected for US Operation Warp Speed in February 2020 and awarded funding in August 2020","Ad26.COV2-S, Non replicating viral vector; Ad26 (alone or with MVA boost)","NCT04436276, NCT04505722, NCT04509947, NCT04535453, ISRCTN14722499",Biomedical Advanced Research and Development Authority (BARDA),,"Same platform as vaccine candidates for Ebola, HIV, RSV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Vaxart/ Emergent BioSolutions,Vaccine,Non-replicating viral vector,Phase I,"Phase I dosed October 2020; FDA clearance for Phase I trial received September 2020, recruiment expected to begin September 2020; Pre-clinical results released September 2020; Data from ongoing animal challenge study expected in October 2020","Non-replicating viral vector; Oral Vaccine
 platform",NCT04563702,Unknown,,"Same platform as vaccine candidates for InfA, CHIKV, LASV, NORV, EBOV, RVF, HBV, VEE",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/13/2020
